Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
UserFairANN,50,jaccard,False,no_sampling,False,8,10,0$5,1,0.122964761820019,0.1489881493382459,0.6422505307855626,0.0707006369426751,0.0833946866249029,0.2221651469737437,264.0,0.0414012738853503,0.0020700636942675,0.057130337606413,6.719427266574749,0.5932638063448893,0.0578060952916824,0.9974176869657136,0.998581909954095,UserFairANN,0.0596553387335974
UserFairANN,250,jaccard,False,opt,False,8,10,0$5,1,0.1129569228068965,0.1329944514530655,0.6040339702760085,0.0664012738853503,0.0793498149507385,0.2099544051929875,222.0,0.0021231422505307,0.0001061571125265,0.0447442378045411,6.375745363957209,0.5534338429295074,0.0536626802127179,1.0,0.9999273714077732,UserFairANN,0.0583706348240406
UserFairANN,50,jaccard,False,rank,False,8,10,0$5,1,0.1087087048352963,0.1278056046000486,0.5955414012738853,0.0636942675159235,0.0760214042476581,0.2082060979977605,274.0,0.0127388535031847,0.0006369426751592,0.0545820152355551,6.655009075814898,0.5379064372370624,0.0522524788625595,1.0,0.9995640761997476,UserFairANN,0.0342486285222298
UserFairANN,250,jaccard,False,uniform,False,8,10,0$5,1,0.1126164285178716,0.1330336705659054,0.60828025477707,0.0664012738853503,0.0791231737238828,0.2072187439827104,227.0,0.0021231422505307,0.0001061571125265,0.0458248021474158,6.409830333210724,0.5514536215220196,0.0535074207834823,1.0,0.9999273714077732,UserFairANN,0.0535642644957424
UserFairANN,50,jaccard,False,approx_degree,False,8,10,0$5,1,0.1094792357702142,0.1269484745039474,0.5934182590233545,0.0636942675159235,0.0774425186980771,0.2094098852198672,267.0,0.0116772823779193,0.0005838641188959,0.0542322563154417,6.64682422450521,0.5400477052389762,0.0524693698181713,1.0,0.999600417143455,UserFairANN,0.034191154926276
UserFairANN,50,jaccard,False,uniform,False,8,10,0$5,1,0.1083545229189008,0.1275597399145725,0.5934182590233545,0.0630573248407643,0.074031355591101,0.2017209922431422,306.0,0.0307855626326963,0.0015392781316348,0.0609561705890423,6.809374306423537,0.5280993305095503,0.0513086152786643,0.9971048691095448,0.998945891411371,UserFairANN,0.0275726759255502
UserFairANN,100,jaccard,False,rank,False,8,10,0$5,1,0.1111696583281719,0.1309211604317477,0.5997876857749469,0.0648619957537155,0.0782778528940419,0.2066501020079878,241.0,0.0063694267515923,0.0003184713375796,0.0476136322440208,6.463499973281128,0.5438285886272014,0.0527542156094367,1.0,0.999782083780323,UserFairANN,0.0481538579433017
UserFairANN,250,jaccard,False,rank,False,8,10,0$5,1,0.1132058358407906,0.1337319517329019,0.6072186836518046,0.0665074309978768,0.0789954863545529,0.2098271081995027,221.0,0.0021231422505307,0.0001061571125265,0.0447887654723795,6.377300216336958,0.5534080156908983,0.0536690640046782,1.0,0.9999273714077732,UserFairANN,0.0582872417632448
UserFairANN,100,jaccard,False,approx_degree,False,8,10,0$5,1,0.1123088001119743,0.1312519379603124,0.5987261146496815,0.0648619957537155,0.0784083133173629,0.2099939145487694,233.0,0.0074309978768577,0.0003715498938428,0.0475828175216764,6.462798520888983,0.5464781382137126,0.0530119786941469,1.0,0.9997457555296184,UserFairANN,0.0482304894045735
UserFairANN,100,jaccard,False,opt,False,8,10,0$5,1,0.1123456468660751,0.134827996132785,0.6061571125265393,0.0657112526539278,0.0778826728844969,0.2060641397188201,233.0,0.0031847133757961,0.0001592356687898,0.0471441608859509,6.449487323643958,0.5452376738591937,0.0528897581179582,1.0,0.999891053306684,UserFairANN,0.0482879630005274
UserFairANN,250,jaccard,False,no_sampling,False,8,10,0$5,1,0.1135912900601232,0.1338279136102861,0.60828025477707,0.0665074309978768,0.0794971652414009,0.2114999034045197,218.0,0.0021231422505307,0.0001061571125265,0.0445676245237902,6.370220828964688,0.5550349507829277,0.0538166083849806,1.0,0.9999273714077732,UserFairANN,0.0596553387335974
UserFairANN,250,jaccard,False,approx_degree,False,8,10,0$5,1,0.1134345389912531,0.1339185437719512,0.6104033970276008,0.0662951167728237,0.0793101582879072,0.2118625084960052,222.0,0.0021231422505307,0.0001061571125265,0.044960177291047,6.382847801625417,0.5539037634486174,0.0537045009492239,1.0,0.9999273714077732,UserFairANN,0.0582838609634828
UserFairANN,50,jaccard,False,opt,False,8,10,0$5,1,0.1109784297605436,0.1286573181036199,0.6061571125265393,0.0639065817409766,0.0777326210130421,0.2098866815168505,266.0,0.0116772823779193,0.0005838641188959,0.0545794145045134,6.654944552373439,0.5426591479405968,0.0527899572289168,1.0,0.999600417143455,UserFairANN,0.0344875383720773
UserFairANN,100,jaccard,False,uniform,False,8,10,0$5,1,0.1102278916805707,0.1326066493099135,0.6019108280254777,0.0654989384288747,0.0759661774435073,0.2044697064302031,248.0,0.0074309978768577,0.0003715498938428,0.0510667725873491,6.561444270812994,0.5419794815483758,0.0526451413876332,1.0,0.9997457555296184,UserFairANN,0.040300260096195
