Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
UserFairANN,250,jaccard,False,uniform,False,1,2,0$5,1,0.1009724399696637,0.1170254864429539,0.554140127388535,0.0591295116772823,0.0709152523081761,0.1941125350018391,110.0,0.0,0.0,0.0265268261466462,5.583280654531188,0.4855205917671668,0.0464232591646201,1.0,1.0,UserFairANN,0.219868058654622
UserFairANN,50,jaccard,False,no_sampling,False,1,2,0$5,1,0.1668208785961294,0.2052892949621954,0.7335456475583864,0.0911358811040339,0.1119711987249602,0.2826569787301926,365.0,0.2250530785562632,0.0112526539278131,0.0933351144400468,7.409516675226795,0.8111627540378835,0.0802041946892364,0.9800400929414588,0.9922444881728182,UserFairANN,0.758155615959178
UserFairANN,50,jaccard,False,opt,False,1,2,0$5,1,0.0978315409547014,0.1181435050665061,0.5605095541401274,0.0582271762208067,0.0672787534074594,0.1842658858135037,206.0,0.0010615711252653,5.307855626326964e-05,0.0396379782389739,6.202167629799182,0.4741728517124579,0.0456383302415322,1.0,0.9999636869721232,UserFairANN,0.051276589990128
UserFairANN,250,jaccard,False,rank,False,1,2,0$5,1,0.1023177517251327,0.119752308660471,0.559447983014862,0.0600849256900212,0.0711154164877962,0.1946068536784801,105.0,0.0,0.0,0.0259890264912039,5.548985209953519,0.4909337566414195,0.0469501813743028,1.0,1.0,UserFairANN,0.2246744289829202
UserFairANN,100,jaccard,False,approx_degree,False,1,2,0$5,1,0.0967009728837764,0.110946131510854,0.5424628450106157,0.0565286624203821,0.0677411701659584,0.1889516044842305,138.0,0.0,0.0,0.0310063095311278,5.8360651924164335,0.4647296387199504,0.0444704163300784,1.0,1.0,UserFairANN,0.0990179903624668
UserFairANN,50,jaccard,False,rank,False,1,2,0$5,1,0.0988340765054939,0.1142277807989903,0.5530785562632696,0.0572186836518046,0.0690579259150242,0.1947289825660642,203.0,0.0,0.0,0.0399873431089295,6.216014895932513,0.4788465165273443,0.0460659852347893,1.0,1.0,UserFairANN,0.051292367055684
UserFairANN,250,jaccard,False,no_sampling,False,1,2,0$5,1,0.1476881040446857,0.187360657093539,0.7016985138004246,0.0833864118895966,0.0970501349986508,0.2462702406686453,173.0,0.0,0.0,0.0512592266844459,6.541333702412324,0.6945301358761685,0.0680165980027242,1.0,1.0,UserFairANN,0.758155615959178
UserFairANN,50,jaccard,False,uniform,False,1,2,0$5,1,0.0978084267055244,0.1147488725907679,0.5530785562632696,0.0563694267515923,0.0687516498026545,0.1878424440030896,197.0,0.0,0.0,0.0399213791125045,6.213656120745457,0.4695503674235521,0.0451468613409245,1.0,1.0,UserFairANN,0.0510850113369485
UserFairANN,100,jaccard,False,opt,False,1,2,0$5,1,0.0985995682743857,0.1130448955557064,0.5414012738853503,0.056104033970276,0.068852564506731,0.196401685824592,146.0,0.0,0.0,0.0308126732835568,5.826200167260669,0.4698054498824404,0.0449205766294882,1.0,1.0,UserFairANN,0.0990540522265947
UserFairANN,250,jaccard,False,approx_degree,False,1,2,0$5,1,0.0995091855710494,0.1149736150779412,0.554140127388535,0.0591825902335456,0.0693237204345063,0.1888858464920611,113.0,0.0,0.0,0.0260626350606913,5.553289163066497,0.4797240050122387,0.0458782099942733,1.0,1.0,UserFairANN,0.2234708642676511
UserFairANN,100,jaccard,False,uniform,False,1,2,0$5,1,0.1011154577487885,0.1163338514784347,0.5530785562632696,0.058864118895966,0.0707797082643393,0.1944032726005572,147.0,0.0,0.0,0.0316160627453946,5.869135493763671,0.4882213051873532,0.0468074309739181,1.0,1.0,UserFairANN,0.098109682159745
UserFairANN,100,jaccard,False,rank,False,1,2,0$5,1,0.0999755000320501,0.1170957420791595,0.5562632696390658,0.0589702760084925,0.0696323185942856,0.189850151889453,144.0,0.0,0.0,0.031089375304404,5.8411209652638325,0.4816815251079571,0.0461738370408526,1.0,1.0,UserFairANN,0.0992163306151703
UserFairANN,50,jaccard,False,approx_degree,False,1,2,0$5,1,0.096391790391548,0.1136041216549979,0.5658174097664543,0.0576433121019108,0.0670947300942827,0.1846421499816473,207.0,0.0,0.0,0.0398432783712173,6.2097641044905805,0.4702408438837643,0.0452880563436013,1.0,1.0,UserFairANN,0.051278843856636
UserFairANN,250,jaccard,False,opt,False,1,2,0$5,1,0.1024288822740941,0.1192283832343824,0.5668789808917197,0.0596072186836518,0.070724777269733,0.1969154709405838,110.0,0.0,0.0,0.0257581919087317,5.533342432416086,0.4881945707269298,0.0466611836691204,1.0,1.0,UserFairANN,0.2240219346288558
