Algorithm,nn,sim,bin,nb,nt,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,tr,k,imp,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,preposp,strat,val,h,t,thres,w,CR
ItemKNNfairness,250,cosine,False,,,0.1451284256984672,0.1751681936369078,0.6666666666666666,0.0787154989384288,0.0977806782873053,0.2547084082077722,622.0,0.7303609341825902,0.0365180467091295,0.0724643266392089,6.949324934239008,0.6913508130679755,0.068070679452733,0.9838106300575604,0.9744024828467388,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,250,jaccard,False,,,0.1441490553325794,0.1757961567292062,0.6751592356687898,0.0790870488322717,0.0966468094652253,0.248075427632008,588.0,0.5477707006369427,0.0273885350318471,0.0731777150449923,6.993324180421828,0.6926609781179804,0.068754203892,0.983886430832836,0.9809192957621302,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,250,jaccard,False,,,0.1441490553325794,0.1757961567292062,0.6751592356687898,0.0790870488322717,0.0966468094652253,0.248075427632008,588.0,0.5477707006369427,0.0273885350318471,0.0731777150449923,6.993324180421828,0.6926609781179804,0.068754203892,0.983886430832836,0.9809192957621302,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,50,cosine,False,,,0.1396728006904924,0.1664642455475612,0.6656050955414012,0.0773354564755838,0.0942967512040482,0.2497091980984775,724.0,1.2112526539278132,0.0605626326963906,0.0851207448493702,7.12366409270533,0.67694515777991,0.0667188689949798,0.9718227040493692,0.9568488479562623,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,50,cosine,False,,,0.1396728006904924,0.1664642455475612,0.6656050955414012,0.0773354564755838,0.0942967512040482,0.2497091980984775,724.0,1.2112526539278132,0.0605626326963906,0.0851207448493702,7.12366409270533,0.67694515777991,0.0667188689949798,0.9718227040493692,0.9568488479562623,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,100,jaccard,False,,,0.0870378590101071,0.1083484835753324,0.5360934182590233,0.0532377919320594,0.0595779962648714,0.1581948482675149,1056.0,5.658174097664544,0.2829087048832271,0.2932229677651207,8.93464880765401,0.4844058503946155,0.0472911514034694,0.6296832242580964,0.7621935324435033,ItemKNNfairness,,,,,,,,,,interactions-items,nan,,,,,,1.0
ItemKNNfairness,100,jaccard,False,,,0.0870378590101071,0.1083484835753324,0.5360934182590233,0.0532377919320594,0.0595779962648714,0.1581948482675149,1056.0,5.658174097664544,0.2829087048832271,0.2932229677651207,8.93464880765401,0.4844058503946155,0.0472911514034694,0.6296832242580964,0.7621935324435033,ItemKNNfairness,,,,,,,,,,interactions-items,nan,,,,,,1.0
ItemKNNfairness,50,jaccard,False,,,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,,,,,,,,interactions-items,nan,,,,,,1.0
ItemKNNfairness,50,jaccard,False,,,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,,,,,,,,interactions-items,nan,,,,,,1.0
ItemKNNfairness,250,jaccard,False,,,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,,,,,,,,,,interactions-items,nan,,,,,,1.0
