Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
ItemFairANN,100,jaccard,False,no_sampling,False,10,2,0$5,1,0.0549521196392006,0.0631586917661862,0.4256900212314225,0.0337579617834394,0.0398333889281489,0.1182219047579866,761.0,6.099787685774947,0.1281582726102044,7.746819697340219,0.2988892010335713,0.0289045456287742,0.7978968430897051,0.7389735796000874,ItemFairANN,0.0035088800641019
ItemFairANN,50,jaccard,False,no_sampling,False,10,2,0$5,1,0.0549521196392006,0.0631586917661862,0.4256900212314225,0.0337579617834394,0.0398333889281489,0.1182219047579866,761.0,6.099787685774947,0.1281582726102044,7.746819697340219,0.2988892010335713,0.0289045456287742,0.7978968430897051,0.7389735796000874,ItemFairANN,0.0035088800641019
ItemFairANN,250,jaccard,False,no_sampling,False,10,2,0$5,1,0.0549521196392006,0.0631586917661862,0.4256900212314225,0.0337579617834394,0.0398333889281489,0.1182219047579866,761.0,6.099787685774947,0.1281582726102044,7.746819697340219,0.2988892010335713,0.0289045456287742,0.7978968430897051,0.7389735796000874,ItemFairANN,0.0035088800641019
UserFairANN,50,jaccard,False,no_sampling,False,10,2,0$5,1,0.0659711048609045,0.0756210107022586,0.4437367303609342,0.0400743099787685,0.0470603976368443,0.1357150054898078,970.0,3.1910828025477707,0.2316538127505174,8.698779054776958,0.3570187799599756,0.0349795518275239,0.8328489293369131,0.8780442305055939,UserFairANN,0.0021517755725594
UserFairANN,250,jaccard,False,no_sampling,False,10,2,0$5,1,0.0659711048609045,0.0756210107022586,0.4437367303609342,0.0400743099787685,0.0470603976368443,0.1357150054898078,970.0,3.1910828025477707,0.2316538127505174,8.698779054776958,0.3570187799599756,0.0349795518275239,0.8328489293369131,0.8780442305055939,UserFairANN,0.0021517755725594
UserFairANN,100,jaccard,False,no_sampling,False,10,2,0$5,1,0.0659711048609045,0.0756210107022586,0.4437367303609342,0.0400743099787685,0.0470603976368443,0.1357150054898078,970.0,3.1910828025477707,0.2316538127505174,8.698779054776958,0.3570187799599756,0.0349795518275239,0.8328489293369131,0.8780442305055939,UserFairANN,0.0021517755725594
