Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
UserFairANN,50,jaccard,False,no_sampling,False,1,20,0$5,1,0.1707634280850104,0.2112438692933494,0.7356687898089171,0.0925690021231422,0.11437857222234,0.2880379496912399,378.0,0.2558386411889596,0.0970528988693911,7.463880817539699,0.8286427407830016,0.0819586568605743,0.9705822879692751,0.9911745880167846,UserFairANN,0.4883385871144414
UserFairANN,100,jaccard,False,no_sampling,False,1,20,0$5,1,0.1671025096632615,0.2097791559548489,0.7452229299363057,0.091932059447983,0.1101642529476542,0.2787479036528799,264.0,0.0647558386411889,0.0771937166338032,7.1275525771488635,0.7992761137384546,0.0788536015206746,0.9900855764000102,0.9977802539687456,UserFairANN,0.4883385871144414
UserFairANN,250,jaccard,False,no_sampling,False,1,20,0$5,1,0.1517796869591127,0.195314038199778,0.7154989384288747,0.0860934182590233,0.0999278485322132,0.2494261413992833,176.0,0.0,0.0554149584592327,6.648353731971225,0.7181259584527717,0.0704590516519567,1.0,1.0,UserFairANN,0.4883385871144414
ItemFairANN,100,jaccard,False,no_sampling,False,1,20,0$5,1,0.1649154137442713,0.20425902669696,0.7208067940552016,0.0896496815286624,0.1130718743108436,0.275696252460909,396.0,0.1953290870488322,0.1086325356181935,7.602799465950259,0.8254732054632913,0.0829150730245425,0.9696304327875762,0.99327542562514,ItemFairANN,1.0
ItemFairANN,250,jaccard,False,no_sampling,False,1,20,0$5,1,0.1535096000490248,0.195971269534302,0.7165605095541401,0.0879511677282378,0.1003370663127298,0.2525307038489582,415.0,0.1528662420382165,0.1378296820645704,7.937722117639702,0.7898921421508385,0.0792276607196081,0.9834420374308868,0.994744678293585,ItemFairANN,1.0
ItemFairANN,50,jaccard,False,no_sampling,False,1,20,0$5,1,0.1693259275346164,0.2100468613607999,0.7335456475583864,0.0907643312101911,0.1139765781505061,0.2824805414159794,432.0,0.2929936305732484,0.0986522696500992,7.492478742193032,0.831140162425311,0.083265079973581,0.9640464358288232,0.9898804150899252,ItemFairANN,1.0
