Algorithm,nn,sim,imp,bin,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,strat,val,h,t,thres,w,nb,nt,preposp,tr,k,CR
ItemFairANN,50,cosine,,False,,,,,,,0.0470526428527452,0.0470385070844197,0.3726114649681528,0.032484076433121,0.0387496573277518,0.1124181023824345,1113.0,9.58067940552017,0.4790339702760084,0.316339368605551,9.12107547102509,0.300224111421887,0.0294665772110991,0.7749501873316151,0.5214621800308413,ItemFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0063491137546337
ItemFairANN,250,cosine,,False,,,,,,,0.0626603846171564,0.0663979149612019,0.4501061571125265,0.0444267515923567,0.0506437580136087,0.1366398574754503,1060.0,6.240976645435244,0.3120488322717623,0.2171765675709328,8.490883960308071,0.3920168988122859,0.0389664953697007,0.848705673314451,0.7313707901139693,ItemFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0118177055358416
ItemFairANN,50,cosine,,False,,,,,,,0.0577172490768763,0.0579201601606315,0.4182590233545648,0.0400743099787685,0.0478778324704935,0.1344996481087516,1068.0,6.86411889596603,0.3432059447983014,0.2385553648352791,8.661953962561554,0.3653568847520229,0.0364013804817949,0.8413540588411906,0.6967258086937173,ItemFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0107214556789264
ItemFairANN,250,cosine,,False,,,,,,,0.0610118804736154,0.0633851548602664,0.4363057324840764,0.0426220806794055,0.0504822436927958,0.1338131580137752,1070.0,6.479830148619958,0.3239915074309979,0.2385816085757927,8.657826787655079,0.3840508874372161,0.0382603137119003,0.858597835959014,0.718304560441709,ItemFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.010958646285518
ItemFairANN,250,cosine,,False,,,,,,,0.0626997523365381,0.0662770138052689,0.4501061571125265,0.0443736730360934,0.0507620758719817,0.1374278041484121,1059.0,6.256900212314225,0.3128450106157112,0.217787424125642,8.497259215121522,0.3922240944516223,0.0389826580073743,0.8485304401262952,0.7305077521845404,ItemFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.011815504230908
ItemFairANN,100,cosine,,False,,,,,,,0.0611084997855899,0.0648160803881096,0.4426751592356688,0.0428874734607218,0.0495181621016314,0.1357864366437457,1077.0,6.656050955414012,0.3328025477707006,0.2378794111944923,8.653237923068307,0.3847639524790549,0.0382318539497549,0.8394724400969941,0.7084960516922059,ItemFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0115981253687185
ItemFairANN,100,cosine,,False,,,,,,,0.0606733365450653,0.0647514082066948,0.4469214437367304,0.0434713375796178,0.0489358470325494,0.1291785475366207,1059.0,6.492569002123142,0.324628450106157,0.2246295534465988,8.545807948615174,0.3805285178541545,0.0378163788396597,0.8258989007802048,0.7176003606338976,ItemFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0116300442902552
ItemFairANN,100,cosine,,False,,,,,,,0.0626603846171564,0.0663979149612019,0.4501061571125265,0.0444267515923567,0.0506437580136087,0.1366398574754503,1060.0,6.240976645435244,0.3120488322717623,0.2171765675709328,8.490883960308071,0.3920168988122859,0.0389664953697007,0.848705673314451,0.7313707901139693,ItemFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0118177055358416
ItemFairANN,100,cosine,,False,,,,,,,0.0620535087611238,0.0648191407225563,0.445859872611465,0.0435774946921443,0.0508258384727987,0.137578295561524,1062.0,6.376857749469214,0.3188428874734607,0.2221432545705876,8.522930201568467,0.3897208812602442,0.0387512267643017,0.8341056292504107,0.7239694218916505,ItemFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0116316952689554
ItemFairANN,50,cosine,,False,,,,,,,0.0580434327571254,0.0606324453809044,0.4341825902335456,0.0408704883227176,0.0466985834814806,0.1299404236246095,1074.0,6.681528662420382,0.3340764331210191,0.2373087477558841,8.633642798727003,0.3642524767867777,0.0362828734504641,0.8318293173623509,0.707065893601377,ItemFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0107797902596659
ItemFairANN,50,cosine,,False,,,,,,,0.0619613540151565,0.0659365261743019,0.4511677282377919,0.0441613588110403,0.0498887238707741,0.1340748786904453,1060.0,6.264331210191083,0.3132165605095541,0.2182581564442178,8.501219082031643,0.3885045742041461,0.038637571534726,0.8478254292837334,0.7301046113978507,ItemFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0118177055358416
ItemFairANN,250,cosine,,False,,,,,,,0.061977552455916,0.0654580265708888,0.445859872611465,0.0437898089171974,0.0501882901665493,0.1359448079343664,1062.0,6.259023354564756,0.3129511677282378,0.2191857505158114,8.509237808625961,0.38790280561795,0.038529526596192,0.8465757386279231,0.730392594430184,ItemFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0118094506423407
ItemFairANN,100,cosine,,False,,,,,,,0.0548552208021947,0.0540162024539751,0.4076433121019108,0.0380573248407643,0.0456935621649145,0.1323737844829176,1086.0,7.904458598726115,0.3952229299363057,0.2719474904521651,8.871532190098648,0.3516747508230158,0.0349406839042837,0.8109953269280129,0.6346082742631793,ItemFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088013674506247
ItemFairANN,250,cosine,,False,,,,,,,0.062764460410463,0.0664466620138041,0.4511677282377919,0.0446390658174097,0.0507285215391259,0.1364728036417857,1060.0,6.245222929936306,0.3122611464968152,0.217245289918463,8.491571663171115,0.393153513454718,0.0390783522132178,0.849402570242559,0.7311407579360081,ItemFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0118138532522079
