Algorithm,nn,sim,imp,bin,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,tr,k,preposp,nb,nt,strat,val,h,t,thres,w,CR
ItemKNN,100,cosine,standard,False,0.0,True,,,,,0.16250841634583,0.1984626406532917,0.7112526539278131,0.0860934182590233,0.1088446819385003,0.2821622964903022,248.0,0.0828025477707006,0.0548707751912325,6.659489532440046,0.7688678390967514,0.0760302523353634,0.9809801834041072,0.9971599465242303,ItemKNN,,,,,,nan,,,,,,1.0
ItemKNN,100,jaccard,standard,False,0.0,True,,,,,0.1630917508769312,0.1957654810039526,0.7038216560509554,0.0849256900212314,0.1093946669516011,0.285026969943211,264.0,0.0573248407643312,0.0589536864968469,6.761278707853118,0.7772960564540973,0.0776561135343642,0.9849907564585552,0.9980354601973168,ItemKNN,,,,,,nan,,,,,,1.0
ItemKNN,250,jaccard,standard,False,0.0,True,,,,,0.1647550018272569,0.1998393135653188,0.7144373673036093,0.0869957537154989,0.1107787642169975,0.2820573190909508,265.0,0.048832271762208,0.0608969054453005,6.8073002607768025,0.7872101555510408,0.0785651853421631,0.9853468053540564,0.9983269714272556,ItemKNN,,,,,,nan,,,,,,1.0
ItemKNN,250,cosine,standard,False,0.0,True,,,,,0.1647546736301564,0.1983867022699199,0.7123142250530785,0.0861464968152866,0.1114808716322441,0.2873425033114252,251.0,0.0626326963906581,0.0558444731312957,6.6811371766411805,0.7765367958276048,0.0767624341529263,0.9873110661597956,0.9978531827924604,ItemKNN,,,,,,nan,,,,,,1.0
ItemKNN,50,jaccard,standard,False,0.0,True,,,,,0.161061740502724,0.1955926122544012,0.7038216560509554,0.0841295116772823,0.1067666746875214,0.2781433830800586,293.0,0.0923566878980891,0.0566466016326286,6.7078261823955385,0.7603241468708143,0.0757615518194165,0.9826926039513671,0.9968312493746326,ItemKNN,,,,,,nan,,,,,,1.0
ItemKNN,50,cosine,standard,False,0.0,True,,,,,0.1613142459036341,0.1967808220072765,0.7059447983014862,0.0854564755838641,0.1079355364351839,0.2816574596515093,278.0,0.1411889596602972,0.0555638306088706,6.678721722717,0.7633591390579179,0.0754821700711753,0.9808389896716044,0.9951479997932988,ItemKNN,,,,,,nan,,,,,,1.0
ItemANNOY,50,angular,,False,,,,,,,0.1756608637910743,0.220228026785314,0.7494692144373672,0.0932059447983015,0.1174541936328395,0.295911590206467,429.0,0.4501061571125265,0.1018960117395424,7.537844510993591,0.8598537013146053,0.0860060799534145,0.940007889281488,0.9843724128352448,ItemANNOY,12.0,-1.0,,,,nan,,,,,,0.0370919881305638
ItemANNOY,100,angular,,False,,,,,,,0.1700333010910817,0.2139974090769577,0.7335456475583864,0.091932059447983,0.1152613780548117,0.2859940380309481,395.0,0.3471337579617834,0.1142077936816423,7.679171410451371,0.8492847778652746,0.0851862252356786,0.9527833160670818,0.9879888911264002,ItemANNOY,12.0,-1.0,,,,nan,,,,,,0.0741839762611275
ItemANNOY,250,angular,,False,,,,,,,0.1578976865145492,0.2025792726630749,0.721868365180467,0.0893842887473461,0.1048893710531225,0.257153548641219,434.0,0.316348195329087,0.1372260760327659,7.9382170845749185,0.806906477939671,0.0807167321393376,0.9634955771043296,0.989065298627702,ItemANNOY,12.0,-1.0,,,,nan,,,,,,0.1854599406528189
UserKNNfairness,250,jaccard,,False,,,,,,,0.1226392080452303,0.1473429365166351,0.6231422505307855,0.0690021231422505,0.0815438592609164,0.2237064777333407,529.0,0.9076433121019108,0.0786963875057731,7.111737526795353,0.5872497658824327,0.0572476151302866,0.9658312499701236,0.9679978982498864,UserKNNfairness,,,interactions-items,,,nan,,,,,,
