Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.05],0.03190184021828208,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.03175714642970783,1,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.03125822339658441,1,3,0.25
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.05],0.031248972960128414,1,3,0.05
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.05],0.02506199183193836,2,3,0.05
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.05],0.022498930295333168,3,3,0.05
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.25],0.012471404644400714,1,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.05],0.007600970219025864,1,3,0.05
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.25],0.007575166387264794,1,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.75],0.006136958736966783,1,3,0.75
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.95],0.005358792420953938,1,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.5],0.0052309702778187295,1,3,0.5
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.05],0.00441282401560327,1,3,0.05
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.05],0.0017932592753461655,1,3,0.05
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.05],0.0017475500182725706,1,3,0.05
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.25],0.0017475500182725706,1,3,0.25
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.5],0.0017475500182725706,1,3,0.5
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.75],0.0017475500182725706,1,3,0.75
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.95],0.0017475500182725706,1,3,0.95
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.05],0.0017475467363015655,1,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.25],0.0017475467363015655,1,3,0.25
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.5],0.0017475467363015655,1,3,0.5
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.75],0.0017475467363015655,1,3,0.75
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.95],0.0017475467363015655,1,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.25],0.0016515914499619507,1,3,0.25
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.5],0.0015512842569846736,1,3,0.5
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.95],0.0015512842569846736,1,3,0.95
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.95],0.0015414905533257955,1,3,0.95
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.25],0.0015177105270035016,1,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.75],0.0013568019110663213,1,3,0.75
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.05],0.001297394805515268,1,3,0.05
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.75],0.001297394805515268,1,3,0.75
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.25],0.0010467141900476608,1,3,0.25
