Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.75],0.024087015746977032,3,3,0.75
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.75],0.02368051923083299,3,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.75],0.023484223323485567,3,3,0.75
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.25],0.022179270903076493,2,3,0.25
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.05],0.021837159483607756,2,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.25],0.02167056457453293,2,3,0.25
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.25],0.021449037452203414,3,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.5],0.021272411549112667,2,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.5],0.021256047467622472,2,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.05],0.021138642955488927,1,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.5],0.021083520183208918,2,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.95],0.02085148045506469,3,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.5],0.020843833419112594,2,3,0.5
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.05],0.02076154588607577,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.02063289559467608,3,3,0.05
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.95],0.020631976826326014,1,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.05],0.020534809913064552,1,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.95],0.020468964181001442,2,3,0.95
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.95],0.020459228173400845,2,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.95],0.020459228173400845,3,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.75],0.020257749791139194,2,3,0.75
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.05],0.02005053489842459,3,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.019832731743338525,3,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.25],0.012713018923258466,3,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.75],0.01232147573545819,3,3,0.75
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.95],0.012243880642233326,3,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.05],0.011707555804260025,2,3,0.05
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.5],0.011664541037240734,2,3,0.5
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.05],0.01144835259271523,3,3,0.05
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.95],0.011326065822144158,3,3,0.95
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.25],0.010982753866879334,2,3,0.25
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.75],0.006433624974979261,1,3,0.75
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.5],0.0062779479684231905,1,3,0.5
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.25],0.006069502980696948,1,3,0.25
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.05],0.006034963534270373,1,3,0.05
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.5],0.004801251400413203,2,3,0.5
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.25],0.004624742147857726,1,3,0.25
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.05],0.004420327003560286,1,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.05],0.002968909219287215,3,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.25],0.002968909219287215,3,3,0.25
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.5],0.002968909219287215,3,3,0.5
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.75],0.002968909219287215,3,3,0.75
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.95],0.002968909219287215,3,3,0.95
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.05],0.0025473643244115804,3,3,0.05
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.25],0.0025473643244115804,3,3,0.25
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.5],0.0025473643244115804,3,3,0.5
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.75],0.0025473643244115804,3,3,0.75
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.95],0.0025473643244115804,3,3,0.95
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.75],0.016660535791729224,3,3,0.75
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.75],0.015513352019287436,2,3,0.75
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.75],0.015477142786291,3,3,0.75
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.75],0.015418362177635507,2,3,0.75
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.75],0.015375855467431117,3,3,0.75
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.95],0.014247284876715031,3,3,0.95
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.95],0.014220949431242504,1,3,0.95
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.95],0.014220949431242504,2,3,0.95
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.95],0.014220949431242504,3,3,0.95
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.95],0.014207464319413395,1,3,0.95
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.95],0.012889267362834234,3,3,0.95
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.95],0.012885246263481724,3,3,0.95
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.95],0.012881215359218328,2,3,0.95
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.95],0.012881215359218328,1,3,0.95
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.95],0.012881215359218328,3,3,0.95
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.25],0.012700524502877371,3,3,0.25
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.5],0.012381133158558601,3,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.05],0.012171848227306381,3,3,0.05
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.25],0.012171848227306381,3,3,0.25
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.5],0.012171848227306381,3,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.75],0.012171848227306381,3,3,0.75
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.95],0.012171848227306381,3,3,0.95
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.05],0.012171848227306381,3,3,0.05
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.25],0.012171848227306381,3,3,0.25
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.5],0.012171848227306381,3,3,0.5
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.75],0.012171848227306381,3,3,0.75
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.95],0.012171848227306381,3,3,0.95
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.05],0.012171848227306381,3,3,0.05
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.25],0.012171848227306381,3,3,0.25
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.5],0.012171848227306381,3,3,0.5
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.75],0.012171848227306381,3,3,0.75
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.95],0.012171848227306381,3,3,0.95
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.95],0.011894300987008607,3,3,0.95
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.5],0.011621102625506835,3,3,0.5
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.75],0.011289669833954031,3,3,0.75
User,UserKNN,cosine,UserKNN (cosine) [th: 0.05],0.01078879381786522,3,3,0.05
User,UserKNN,cosine,UserKNN (cosine) [th: 0.25],0.01078879381786522,3,3,0.25
User,UserKNN,cosine,UserKNN (cosine) [th: 0.5],0.01078879381786522,3,3,0.5
User,UserKNN,cosine,UserKNN (cosine) [th: 0.75],0.01078879381786522,3,3,0.75
User,UserKNN,cosine,UserKNN (cosine) [th: 0.95],0.01078879381786522,3,3,0.95
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.05],0.01078879381786522,3,3,0.05
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.25],0.01078879381786522,3,3,0.25
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.5],0.01078879381786522,3,3,0.5
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.75],0.01078879381786522,3,3,0.75
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.95],0.01078879381786522,3,3,0.95
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.05],0.01078879381786522,3,3,0.05
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.25],0.01078879381786522,3,3,0.25
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.5],0.01078879381786522,3,3,0.5
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.75],0.01078879381786522,3,3,0.75
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.95],0.01078879381786522,3,3,0.95
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.05],0.010788755827154715,3,3,0.05
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.05],0.010105218609503131,3,3,0.05
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.25],0.009730834016315174,3,3,0.25
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.25],0.006967341561562133,3,3,0.25
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.5],0.006901427561777895,3,3,0.5
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.5],0.006372481486564525,3,3,0.5
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.5],0.006147301731229433,3,3,0.5
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.05],0.005062734359140023,3,3,0.05
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.05],0.004666540565779687,3,3,0.05
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.25],0.004651992032658108,3,3,0.25
