Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.75],0.0010491084401727995,3,3,0.75
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.75],0.001045972156598455,1,3,0.75
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.05],0.0009983431767162767,1,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.25],0.0009983431767162767,1,3,0.25
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.5],0.0009983431767162767,1,3,0.5
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.75],0.0009983431767162767,1,3,0.75
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.95],0.0009983431767162767,1,3,0.95
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.25],0.0009928423709247367,3,3,0.25
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.75],0.0009819906579979082,3,3,0.75
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.25],0.0008857130804137286,3,3,0.25
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.75],0.0008803040168705569,3,3,0.75
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.75],0.0008742089904893608,3,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.75],0.0008120626385376016,3,3,0.75
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.05],0.0007172920468452806,2,3,0.05
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.25],0.0006199004609223872,2,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.25],0.0004847143808402019,2,3,0.25
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.05],0.00046952520537708436,1,3,0.05
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.25],0.00043505143589439067,3,3,0.25
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.05],0.00041511601178651435,3,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.25],0.00041014439933168305,2,3,0.25
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.05],0.0003917597571927387,1,3,0.05
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.5],0.00038315336442696084,3,3,0.5
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.5],0.00038307076207290527,2,3,0.5
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.5],0.00038178362976299334,2,3,0.5
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.25],0.00037437969828897524,2,3,0.25
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.05],0.00037122318930748305,3,3,0.05
Item,ItemFairANN_uniform,jaccard,ItemFairANN_uniform (jaccard) [th: 0.95],0.0003685175787809899,1,3,0.95
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.05],0.00036278923050341857,2,3,0.05
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.5],0.00035653502224192624,2,3,0.5
Item,ItemFairANN_uniform,cosine,ItemFairANN_uniform (cosine) [th: 0.95],0.00035114222393867455,2,3,0.95
Item,ItemFairANN_approx_degree,jaccard,ItemFairANN_approx_degree (jaccard) [th: 0.95],0.00035106841509435793,3,3,0.95
Item,ItemFairANN_rank,jaccard,ItemFairANN_rank (jaccard) [th: 0.95],0.00035012931323274635,3,3,0.95
Item,ItemFairANN_opt,jaccard,ItemFairANN_opt (jaccard) [th: 0.95],0.0003498182471000802,1,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.95],0.00034911665713665185,3,3,0.95
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.95],0.0003416279063980129,2,3,0.95
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.95],0.0003407630740916431,3,3,0.95
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.95],0.0003400761401133086,2,3,0.95
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.95],0.00033962938205614414,3,3,0.95
Item,ItemFairANN_opt,cosine,ItemFairANN_opt (cosine) [th: 0.05],0.000265727496246472,3,3,0.05
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.05],0.00022465402419463124,2,3,0.05
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.25],6.110725054860981e-05,1,3,0.25
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.95],5.663762343830558e-05,1,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.75],5.653938149216312e-05,1,3,0.75
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.5],5.139744605170893e-05,1,3,0.5
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.05],4.572812260238802e-05,2,3,0.05
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.05],4.50902500878794e-05,2,3,0.05
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.25],4.3458536401552803e-05,1,3,0.25
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.05],0.0020215015124640176,1,3,0.05
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.25],0.0020215015124640176,1,3,0.25
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.5],0.0020215015124640176,1,3,0.5
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.75],0.0020215015124640176,1,3,0.75
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.95],0.0020215015124640176,1,3,0.95
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.05],0.0017795148653334618,1,3,0.05
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.25],0.001719942295690426,1,3,0.25
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.5],0.0016481935209526875,1,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.05],0.0012983048939888874,3,3,0.05
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.25],0.0012983048939888874,3,3,0.25
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.5],0.0012983048939888874,3,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.75],0.0012983048939888874,3,3,0.75
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.95],0.0012983048939888874,3,3,0.95
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.05],0.0012983048939888874,3,3,0.05
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.25],0.0012983048939888874,3,3,0.25
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.5],0.0012983048939888874,3,3,0.5
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.75],0.0012983048939888874,3,3,0.75
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.95],0.0012983048939888874,3,3,0.95
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.05],0.0012983048939888874,3,3,0.05
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.25],0.0012983048939888874,3,3,0.25
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.5],0.0012983048939888874,3,3,0.5
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.75],0.0012983048939888874,3,3,0.75
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.95],0.0012983048939888874,3,3,0.95
User,UserKNN,cosine,UserKNN (cosine) [th: 0.05],0.0012108172175008946,3,3,0.05
User,UserKNN,cosine,UserKNN (cosine) [th: 0.25],0.0012108172175008946,3,3,0.25
User,UserKNN,cosine,UserKNN (cosine) [th: 0.5],0.0012108172175008946,3,3,0.5
User,UserKNN,cosine,UserKNN (cosine) [th: 0.75],0.0012108172175008946,3,3,0.75
User,UserKNN,cosine,UserKNN (cosine) [th: 0.95],0.0012108172175008946,3,3,0.95
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.05],0.0012108172175008946,3,3,0.05
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.25],0.0012108172175008946,3,3,0.25
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.5],0.0012108172175008946,3,3,0.5
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.75],0.0012108172175008946,3,3,0.75
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.95],0.0012108172175008946,3,3,0.95
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.05],0.0012108172175008946,3,3,0.05
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.25],0.0012108172175008946,3,3,0.25
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.5],0.0012108172175008946,3,3,0.5
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.75],0.0012108172175008946,3,3,0.75
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.95],0.0012108172175008946,3,3,0.95
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.5],0.0008274649462663416,3,3,0.5
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.95],0.0008263571340085879,2,3,0.95
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.95],0.000825995594257046,3,3,0.95
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.95],0.0008259266153477623,3,3,0.95
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.95],0.0008257664196726014,2,3,0.95
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.95],0.0008257664196726014,3,3,0.95
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.75],0.000678593841935876,3,3,0.75
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.75],0.0006754766208255245,2,3,0.75
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.25],0.0006733332888037819,3,3,0.25
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.75],0.0006731974953400111,3,3,0.75
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.75],0.0006730681615385872,2,3,0.75
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.75],0.0006708238899736758,3,3,0.75
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.5],0.0006562140637095907,3,3,0.5
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.5],0.0006235788907460701,3,3,0.5
