Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.75],0.010877049042034567,2,3,0.75
Item,ItemANNOY,cosine,ItemANNOY (cosine) [th: 0.75],0.010553694199340647,3,3,0.75
Item,ItemFairANN_approx_degree,cosine,ItemFairANN_approx_degree (cosine) [th: 0.95],0.010505400434534242,2,3,0.95
Item,ItemFairANN_rank,cosine,ItemFairANN_rank (cosine) [th: 0.95],0.010435224229163643,2,3,0.95
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.95],0.010434794765719284,3,3,0.95
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.5],0.002344426082503517,3,3,0.5
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.75],0.0017790729645657144,1,3,0.75
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.05],0.0017092108080592,2,3,0.05
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.5],0.0016602549538592306,1,3,0.5
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.25],0.0016532942102554591,1,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.75],0.0007945507189709841,3,3,0.75
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.75],0.0007643603863779095,2,3,0.75
Item,ItemLSHRandomProjection,cosine,ItemLSHRandomProjection (cosine) [th: 0.05],0.0007206689657812762,1,3,0.05
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.95],0.0007177116475702907,2,3,0.95
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.05],0.0006591067029365392,1,3,0.05
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.25],0.0006036128805257787,2,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.05],0.0005855209131978353,3,3,0.05
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.25],0.0005855209131978353,3,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.5],0.0005855209131978353,3,3,0.5
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.95],0.0005855209131978353,3,3,0.95
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.05],0.0005855209131978353,3,3,0.05
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.25],0.0005855209131978353,3,3,0.25
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.75],0.0005855209131978353,3,3,0.75
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.25],0.00048282648163464395,3,3,0.25
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.25],0.00048085882093591026,3,3,0.25
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.5],0.00048085882093591026,3,3,0.5
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.95],0.00048085882093591026,3,3,0.95
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.05],0.00048085882093591026,3,3,0.05
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.5],0.00048085882093591026,3,3,0.5
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.75],0.00048085882093591026,3,3,0.75
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.95],0.0004752063525834483,3,3,0.95
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.5],0.00042920637999277673,3,3,0.5
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.95],0.00042920637999277673,3,3,0.95
Item,ItemANNfaissLSH,cosine,ItemANNfaissLSH (cosine) [th: 0.25],0.0003203568318547449,2,3,0.25
