Algorithm,nn,sim,bin,tr,k,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
ItemANNOY,100,angular,False,8,-1,0.1711914063778165,0.2146067707040523,0.7377919320594479,0.0923036093418259,0.1153904114957991,0.2868628881885374,392.0,0.3386411889596603,0.016932059447983,0.113869225786012,7.673755934932229,0.8522822430881934,0.0854629821771602,0.9471579997601526,0.9882860513488372,ItemANNOY,0.0741839762611275
ItemANNOY,100,angular,False,8,100,0.1707177231911271,0.2144093002778611,0.7367303609341825,0.0917728237791932,0.1159840153512938,0.2876015277894307,410.0,0.4288747346072187,0.0214437367303609,0.1161109771340574,7.704376073138958,0.8535942776679682,0.0855301856860968,0.941023799773545,0.9851201122862574,ItemANNOY,0.0741839762611275
ItemANNOY,50,angular,False,8,100,0.1756288393440861,0.2184725591301887,0.7452229299363057,0.0926751592356688,0.1177315132774192,0.2969661763900193,427.0,0.4734607218683652,0.0236730360934182,0.1025703103696665,7.547329414253618,0.859384854681249,0.0860151569833462,0.9415909997189046,0.9835487179932136,ItemANNOY,0.0370919881305638
ItemANNOY,100,angular,False,8,500,0.1710239999552845,0.2149664380766528,0.7388535031847133,0.0920912951167728,0.1155420004808512,0.2872988778419799,407.0,0.3779193205944798,0.0188959660297239,0.1156173110962949,7.69694807435535,0.8532203955557525,0.0855522161047873,0.9412252415715476,0.9869102758977998,ItemANNOY,0.0741839762611275
ItemANNOY,250,angular,False,8,-1,0.1582194555262089,0.2017669132863211,0.7165605095541401,0.089171974522293,0.1050064215340486,0.2581113570977703,438.0,0.3471337579617834,0.0173566878980891,0.1380728898219998,7.9462930478894815,0.8080255152863336,0.0808172766949471,0.9533445655545404,0.9879888911264002,ItemANNOY,0.1854599406528189
ItemANNOY,50,angular,False,8,200,0.1758095521848236,0.2184725591301887,0.7452229299363057,0.0926751592356688,0.1178341724204493,0.2976972663282093,427.0,0.4713375796178344,0.0235668789808917,0.1025431209087743,7.547033760252829,0.8601712036175125,0.0860916503004315,0.9415909997189046,0.9836236524673684,ItemANNOY,0.0370919881305638
ItemANNOY,50,angular,False,8,500,0.1761737078304988,0.2180462456465504,0.7441613588110403,0.0928343949044586,0.1176179678301321,0.2981604408962379,422.0,0.4437367303609342,0.0221868365180467,0.102078929822819,7.5402414547687,0.8607574839658696,0.0861320107162972,0.9378532224702812,0.9845968339641744,ItemANNOY,0.0370919881305638
ItemANNOY,250,angular,False,8,100,0.1573236312281348,0.1989405038426362,0.7282377919320594,0.090552016985138,0.1047907000018474,0.2596329805002479,468.0,0.6740976645435244,0.0337048832271762,0.1429119833805404,8.005336486539475,0.8202556563539501,0.0819732923189958,0.9382723512292852,0.976419105014739,ItemANNOY,0.1852552192939975
ItemANNOY,50,angular,False,8,-1,0.1767234424499193,0.2190581730915989,0.7473460721868365,0.0929405520169851,0.1179838233399098,0.2993560532441396,425.0,0.4501061571125265,0.0225053078556263,0.1022583014546753,7.542836236037878,0.8626141526848866,0.0863113433139095,0.9379232839520714,0.9843724128352448,ItemANNOY,0.0370919881305638
ItemANNOY,100,angular,False,8,200,0.170676496987578,0.2144093002778611,0.7367303609341825,0.0917728237791932,0.1159041033421715,0.2875940536384029,410.0,0.4214437367303609,0.021072186836518,0.1159945747174268,7.702596489848481,0.853487008610986,0.0855199043437737,0.941023799773545,0.9853815568696812,ItemANNOY,0.0741839762611275
ItemANNOY,250,angular,False,8,200,0.1573546817425861,0.1990574347721026,0.7282377919320594,0.0904458598726114,0.1047704322212318,0.2596869359295164,464.0,0.6666666666666666,0.0333333333333333,0.1426839071491732,8.002370469640134,0.8195951852478884,0.081909342693789,0.9382008386287988,0.976684880733018,ItemANNOY,0.1854401289084169
