Algorithm,nn,sim,bin,tr,k,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
ItemANNOY,250,angular,False,1,100,0.1449069848609765,0.1767044499372729,0.70276008492569,0.0796709129511677,0.0963772640928484,0.254665981129914,569.0,1.167728237791932,0.0583864118895966,0.1566513302345228,8.157735071347945,0.7444689000409574,0.0743295765258253,0.8968102009798399,0.9584613597582504,ItemANNOY,0.1854599406528189
ItemANNOY,250,angular,False,1,500,0.1449069848609765,0.1767044499372729,0.70276008492569,0.0796709129511677,0.0963772640928484,0.254665981129914,569.0,1.167728237791932,0.0583864118895966,0.1566513302345228,8.157735071347945,0.7444689000409574,0.0743295765258253,0.8968102009798399,0.9584613597582504,ItemANNOY,0.1854599406528189
ItemANNOY,50,angular,False,1,500,0.1639085166912769,0.2090237383973426,0.7462845010615711,0.0887473460721868,0.107327028270401,0.2708732212051265,446.0,0.5477707006369427,0.0273885350318471,0.1149794227007566,7.697112703132737,0.8113580852277362,0.0814427136658503,0.9430545202096362,0.9809192957621302,ItemANNOY,0.0370919881305638
ItemANNOY,250,angular,False,1,-1,0.1449069848609765,0.1767044499372729,0.70276008492569,0.0796709129511677,0.0963772640928484,0.254665981129914,569.0,1.167728237791932,0.0583864118895966,0.1566513302345228,8.157735071347945,0.7444689000409574,0.0743295765258253,0.8968102009798399,0.9584613597582504,ItemANNOY,0.1854599406528189
ItemANNOY,250,angular,False,1,200,0.1449069848609765,0.1767044499372729,0.70276008492569,0.0796709129511677,0.0963772640928484,0.254665981129914,569.0,1.167728237791932,0.0583864118895966,0.1566513302345228,8.157735071347945,0.7444689000409574,0.0743295765258253,0.8968102009798399,0.9584613597582504,ItemANNOY,0.1854599406528189
ItemANNOY,50,angular,False,1,100,0.1639085166912769,0.2090237383973426,0.7462845010615711,0.0887473460721868,0.107327028270401,0.2708732212051265,446.0,0.5477707006369427,0.0273885350318471,0.1149794227007566,7.697112703132737,0.8113580852277362,0.0814427136658503,0.9430545202096362,0.9809192957621302,ItemANNOY,0.0370919881305638
ItemANNOY,100,angular,False,1,500,0.1564692563345934,0.1963334171503017,0.7048832271762208,0.0833333333333333,0.101393553006455,0.2621339559328852,464.0,0.5859872611464968,0.0292993630573248,0.135590925497725,7.922414414963994,0.7746213068476848,0.0776496671336849,0.9308702808334396,0.9795619172216388,ItemANNOY,0.0741839762611275
ItemANNOY,100,angular,False,1,-1,0.1564692563345934,0.1963334171503017,0.7048832271762208,0.0833333333333333,0.101393553006455,0.2621339559328852,464.0,0.5859872611464968,0.0292993630573248,0.135590925497725,7.922414414963994,0.7746213068476848,0.0776496671336849,0.9308702808334396,0.9795619172216388,ItemANNOY,0.0741839762611275
ItemANNOY,50,angular,False,1,-1,0.1639085166912769,0.2090237383973426,0.7462845010615711,0.0887473460721868,0.107327028270401,0.2708732212051265,446.0,0.5477707006369427,0.0273885350318471,0.1149794227007566,7.697112703132737,0.8113580852277362,0.0814427136658503,0.9430545202096362,0.9809192957621302,ItemANNOY,0.0370919881305638
ItemANNOY,100,angular,False,1,200,0.1564692563345934,0.1963334171503017,0.7048832271762208,0.0833333333333333,0.101393553006455,0.2621339559328852,464.0,0.5859872611464968,0.0292993630573248,0.135590925497725,7.922414414963994,0.7746213068476848,0.0776496671336849,0.9308702808334396,0.9795619172216388,ItemANNOY,0.0741839762611275
ItemANNOY,100,angular,False,1,100,0.1564692563345934,0.1963334171503017,0.7048832271762208,0.0833333333333333,0.101393553006455,0.2621339559328852,464.0,0.5859872611464968,0.0292993630573248,0.135590925497725,7.922414414963994,0.7746213068476848,0.0776496671336849,0.9308702808334396,0.9795619172216388,ItemANNOY,0.0741839762611275
ItemANNOY,50,angular,False,1,200,0.1639085166912769,0.2090237383973426,0.7462845010615711,0.0887473460721868,0.107327028270401,0.2708732212051265,446.0,0.5477707006369427,0.0273885350318471,0.1149794227007566,7.697112703132737,0.8113580852277362,0.0814427136658503,0.9430545202096362,0.9809192957621302,ItemANNOY,0.0370919881305638
UserANNOY,250,angular,False,1,50,0.1576228172048731,0.201437795605472,0.7133757961783439,0.0874203821656051,0.1043636678852349,0.2595400763046836,187.0,0.0010615711252653,5.307855626326964e-05,0.0607134356918025,6.769493504546095,0.7429755646015174,0.0730465171697024,1.0,0.9999636869721232,UserANNOY,0.2653927813163482
UserANNOY,50,angular,False,1,10,0.1763574770727721,0.2189164644494259,0.7622080679405521,0.0944798301486199,0.117655484757753,0.2961146253193344,402.0,0.2972399150743099,0.0148619957537154,0.1047617021075383,7.574295144724616,0.8537531476490327,0.0845214265166852,0.9521486898461232,0.9897323061783694,UserANNOY,0.0530785562632696
